                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4012,                 2.7385,                 1.7716,                0.28335,                0.29683,                0.20509,                0.11015,                 1.7642,                 2.9403,                 2.1828,               0.070067,              0.0033259,              0.0033259
                      2,                 1.4805,                 2.4138,                 1.8248,                0.34919,                0.43283,                0.32307,                0.19376,                 1.4486,                 2.4908,                 1.8024,               0.039408,                  0.006,                  0.006
                      3,                 1.4213,                 2.2481,                 1.7629,                0.45652,                0.44775,                0.41473,                0.25333,                 1.4332,                 2.0106,                 1.7935,              0.0080884,               0.008014,               0.008014
                      4,                 1.3487,                 2.0173,                 1.7037,                0.40679,                0.57014,                0.46631,                0.28918,                 1.3859,                 1.7769,                 1.7163,                0.00703,                0.00703,                0.00703
                      5,                 1.3212,                 1.9043,                 1.6674,                0.41456,                 0.4873,                0.42497,                0.26185,                 1.3698,                 2.0197,                 1.7039,                0.00703,                0.00703,                0.00703
                      6,                   1.27,                 1.7971,                 1.6179,                0.59364,                0.57006,                0.58291,                0.37797,                 1.2906,                 1.5455,                 1.6398,                0.00604,                0.00604,                0.00604
                      7,                 1.2247,                 1.6634,                 1.5939,                0.54844,                0.63308,                0.63882,                0.41728,                 1.2576,                 1.4961,                 1.5963,                0.00505,                0.00505,                0.00505
                      8,                 1.1865,                 1.5458,                 1.5444,                0.57906,                0.63922,                 0.6611,                0.44073,                 1.2218,                 1.3753,                 1.5592,                0.00406,                0.00406,                0.00406
                      9,                 1.1454,                 1.4409,                 1.5147,                0.66053,                0.61776,                0.68645,                 0.4635,                 1.1721,                 1.3058,                 1.5124,                0.00307,                0.00307,                0.00307
                     10,                  1.109,                 1.3559,                 1.4909,                0.64275,                0.68904,                 0.7229,                0.49617,                 1.1809,                 1.2216,                 1.5181,                0.00208,                0.00208,                0.00208
