                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4453,                 2.7732,                 1.8228,                0.20807,                0.46333,                0.23321,                0.13131,                  1.545,                 4.0487,                 2.0302,               0.070033,              0.0033296,              0.0033296
                      2,                 1.4791,                 2.5423,                 1.8709,                0.29609,                0.37754,                0.24053,                 0.1346,                 1.5143,                 2.5885,                 1.9563,               0.039374,              0.0060033,              0.0060033
                      3,                 1.4239,                 2.3983,                 1.8174,                0.26465,                0.43481,                0.36208,                  0.216,                 1.4561,                 2.1073,                 1.8167,              0.0080542,               0.008017,               0.008017
                      4,                 1.3823,                 2.2083,                 1.7621,                 0.4262,                0.43014,                0.40097,                 0.2495,                 1.3719,                 2.0106,                 1.7441,                0.00703,                0.00703,                0.00703
                      5,                 1.3181,                  2.108,                 1.7122,                0.35175,                0.48858,                0.42259,                0.26131,                 1.3392,                 2.0812,                 1.7683,                0.00703,                0.00703,                0.00703
                      6,                 1.2828,                 1.9768,                 1.6764,                0.43614,                0.52758,                0.47727,                0.31504,                 1.2425,                 1.7647,                 1.6229,                0.00604,                0.00604,                0.00604
                      7,                 1.2312,                 1.8582,                 1.6431,                0.48569,                0.56383,                0.54222,                0.34518,                 1.2345,                   1.66,                  1.621,                0.00505,                0.00505,                0.00505
                      8,                 1.2106,                 1.7198,                 1.6102,                0.60221,                  0.543,                 0.5968,                0.39399,                 1.2146,                 1.5479,                 1.5937,                0.00406,                0.00406,                0.00406
                      9,                 1.1634,                 1.6242,                 1.5633,                0.57553,                0.62675,                0.62111,                0.41236,                 1.2097,                 1.4746,                 1.5859,                0.00307,                0.00307,                0.00307
                     10,                 1.1242,                 1.5296,                 1.5377,                0.56184,                0.63356,                0.63796,                0.42597,                 1.1738,                 1.4192,                 1.5383,                0.00208,                0.00208,                0.00208
