                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1197,                 2.2257,                 1.4835,                0.67769,                0.65486,                0.69459,                0.47974,                 1.1283,                 1.4367,                 1.5031,               0.067147,             0.00033185,             0.00033185
                      2,                 1.0553,                 1.3537,                 1.4155,                0.65837,                0.66417,                 0.7093,                0.48865,                 1.1175,                 1.4392,                 1.4487,               0.034081,             0.00059933,             0.00059933
                      3,                 1.0342,                 1.2087,                 1.3961,                0.78856,                0.70859,                 0.7826,                0.55403,                 1.0785,                 1.1088,                 1.4344,             0.00094962,             0.00080081,             0.00080081
                      4,                  1.015,                 1.0617,                  1.367,                0.76264,                0.75424,                0.82396,                0.57765,                 1.0982,                 1.0488,                 1.4285,               0.000703,               0.000703,               0.000703
                      5,                0.99218,                 1.0161,                 1.3474,                0.78102,                0.77697,                0.82957,                0.59557,                  1.052,                0.99926,                 1.3941,               0.000703,               0.000703,               0.000703
                      6,                0.96182,                0.92433,                 1.3261,                0.86302,                0.77397,                0.86309,                0.62076,                 1.0445,                0.87429,                 1.3865,               0.000604,               0.000604,               0.000604
                      7,                0.92994,                0.83445,                  1.305,                0.84141,                 0.7855,                0.86795,                0.62827,                 1.0402,                0.88073,                 1.3864,               0.000505,               0.000505,               0.000505
                      8,                0.90389,                0.76958,                 1.2802,                0.84382,                 0.7925,                0.85565,                0.60995,                 1.0465,                 0.8615,                 1.3468,               0.000406,               0.000406,               0.000406
                      9,                0.86309,                0.70419,                 1.2424,                0.87503,                0.81873,                0.89119,                0.65143,                 1.0216,                0.73353,                 1.3498,               0.000307,               0.000307,               0.000307
                     10,                0.83661,                0.65344,                 1.2294,                0.83769,                0.84977,                0.88712,                0.66164,                0.98844,                0.73498,                 1.3274,               0.000208,               0.000208,               0.000208
