                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1302,                 2.0786,                 1.5439,                0.67899,                0.61957,                0.69136,                0.46308,                 1.1417,                 1.6356,                 1.5216,               0.067037,             0.00033296,             0.00033296
                      2,                 1.1167,                 1.6231,                 1.5297,                0.67696,                0.64312,                0.69743,                0.46981,                 1.1743,                 1.4017,                 1.5534,               0.033971,             0.00060033,             0.00060033
                      3,                 1.0991,                   1.49,                 1.5178,                0.69355,                0.70853,                0.74653,                0.50953,                 1.1501,                 1.2608,                 1.5257,              0.0008389,              0.0008017,              0.0008017
                      4,                 1.0795,                 1.3073,                 1.4963,                0.69843,                0.71243,                0.76398,                0.52344,                 1.1322,                 1.1755,                 1.5043,               0.000703,               0.000703,               0.000703
                      5,                 1.0538,                 1.2612,                  1.478,                0.75631,                0.73182,                0.78101,                 0.5382,                 1.1206,                 1.1581,                  1.523,               0.000703,               0.000703,               0.000703
                      6,                 1.0264,                 1.1665,                 1.4522,                 0.7689,                0.71278,                0.77885,                0.53684,                 1.1092,                  1.067,                  1.518,               0.000604,               0.000604,               0.000604
                      7,                0.98196,                 1.0218,                 1.4192,                0.78414,                0.78446,                0.84466,                0.60162,                 1.0649,                0.92082,                 1.4757,               0.000505,               0.000505,               0.000505
                      8,                0.94575,                0.94092,                 1.3848,                0.75587,                0.79292,                 0.8279,                0.57977,                 1.0697,                0.93745,                   1.45,               0.000406,               0.000406,               0.000406
                      9,                0.90718,                0.86387,                 1.3497,                0.83952,                0.79546,                0.86146,                0.62568,                 1.0352,                0.85941,                  1.434,               0.000307,               0.000307,               0.000307
                     10,                0.87489,                0.77081,                  1.328,                0.84575,                0.78966,                0.87373,                 0.6291,                 1.0115,                0.79194,                 1.4209,               0.000208,               0.000208,               0.000208
