                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5185,                 2.8014,                 1.8855,                0.20609,                0.25649,                0.13129,                0.07013,                 1.7489,                 3.3809,                  2.264,               0.070067,              0.0033259,              0.0033259
                      2,                 1.5455,                 2.6098,                 1.9213,                0.27919,                0.41779,                0.23369,                0.12934,                 1.5481,                 2.5616,                 1.9747,               0.039408,                  0.006,                  0.006
                      3,                 1.4575,                 2.4066,                 1.8365,                0.25342,                0.45111,                0.28688,                0.17212,                 1.4447,                 2.4172,                 1.8556,              0.0080884,               0.008014,               0.008014
                      4,                 1.3786,                 2.1661,                 1.7546,                0.33388,                0.42208,                0.34798,                0.21774,                 1.4066,                 2.2144,                 1.7917,                0.00703,                0.00703,                0.00703
                      5,                 1.3517,                 2.0894,                 1.7161,                0.37525,                0.53745,                0.48318,                0.30575,                 1.3346,                 1.7833,                  1.699,                0.00703,                0.00703,                0.00703
                      6,                 1.2849,                 1.9362,                 1.6589,                0.48682,                0.56585,                0.53268,                0.35197,                  1.266,                 1.7419,                 1.6396,                0.00604,                0.00604,                0.00604
                      7,                 1.2478,                 1.7924,                  1.635,                0.59524,                0.51284,                0.55853,                0.36592,                 1.2365,                 1.6166,                  1.618,                0.00505,                0.00505,                0.00505
                      8,                   1.21,                 1.7124,                 1.5902,                0.53417,                0.56034,                0.57749,                0.36869,                 1.2863,                 1.6083,                  1.634,                0.00406,                0.00406,                0.00406
                      9,                 1.1851,                 1.6199,                 1.5644,                0.56297,                0.64404,                0.62964,                0.41296,                 1.2131,                 1.4704,                 1.5766,                0.00307,                0.00307,                0.00307
                     10,                 1.1446,                 1.5143,                  1.535,                0.60155,                0.61165,                0.64898,                0.43381,                 1.1899,                 1.3606,                 1.5483,                0.00208,                0.00208,                0.00208
