                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.552,                 2.9604,                 1.9755,                0.19141,                0.33751,                0.16041,                0.08873,                 1.5866,                 3.4207,                 2.0671,               0.070033,              0.0033296,              0.0033296
                      2,                 1.5394,                 2.7812,                 1.9711,                0.26501,                0.33725,                0.18259,                 0.1053,                 1.5491,                 2.6423,                 2.0368,               0.039374,              0.0060033,              0.0060033
                      3,                 1.4513,                  2.602,                 1.8882,                0.40217,                0.37286,                0.27213,                0.17262,                 1.4338,                 2.4577,                 1.8982,              0.0080542,               0.008017,               0.008017
                      4,                   1.38,                 2.4096,                 1.8027,                0.27825,                0.41351,                0.31287,                0.20065,                 1.3552,                 2.1262,                 1.7821,                0.00703,                0.00703,                0.00703
                      5,                 1.3579,                  2.336,                 1.7859,                0.34716,                0.49004,                0.39343,                0.25259,                 1.3504,                 2.1185,                 1.7755,                0.00703,                0.00703,                0.00703
                      6,                 1.3061,                 2.2031,                 1.7334,                 0.3793,                0.48349,                0.39803,                0.26232,                 1.2968,                 1.9284,                 1.7291,                0.00604,                0.00604,                0.00604
                      7,                 1.2658,                  2.093,                 1.7035,                0.35501,                0.48429,                0.42847,                0.27881,                 1.2474,                 1.9652,                 1.6807,                0.00505,                0.00505,                0.00505
                      8,                 1.2356,                 1.9767,                 1.6698,                 0.3958,                0.49581,                0.45181,                0.29731,                 1.2548,                 1.9518,                 1.6824,                0.00406,                0.00406,                0.00406
                      9,                 1.1878,                 1.8738,                 1.6257,                0.48835,                0.52726,                0.51809,                0.35153,                 1.2209,                 1.7046,                 1.6422,                0.00307,                0.00307,                0.00307
                     10,                 1.1499,                 1.7848,                 1.6006,                0.55154,                0.53087,                0.58194,                0.40394,                 1.1726,                 1.5445,                 1.5822,                0.00208,                0.00208,                0.00208
